Loading Datastore...
 * Serving Flask app 'server' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:6080/ (Press CTRL+C to quit)
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjh9.cQJDp-1w8N8lJhRRWhQ_MHRFsO9lH1DDEli35ZVAIHo&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "POST /channels/create/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "POST /channel/join/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /channel/details/v2?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjd9.51zbAqAIwWlK7cP6-w5InQ_iKNf7GKbf10ivbvBUqlk&channel_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjl9.PMSPSu3soB5bYZ9Kg9b1_RtZiL5S2U0UbR2Ru9-kHVk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjEwfQ.OC593vTwnc5FoDABYotZsbhpvzMfNSIiYmeXiF91IzI&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "POST /dm/create/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjl9.PMSPSu3soB5bYZ9Kg9b1_RtZiL5S2U0UbR2Ru9-kHVk&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /dm/details/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjl9.PMSPSu3soB5bYZ9Kg9b1_RtZiL5S2U0UbR2Ru9-kHVk&dm_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjExfQ.n5st27FsyqT5cpP--0fraP6xKERpBUGva_XWTfoeG3M&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjEyfQ.DSdZGyh9J5rlMDCeUPTP6Ml-QOiEv8wou9Edj2dc3Vc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "GET /users/all/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjExfQ.n5st27FsyqT5cpP--0fraP6xKERpBUGva_XWTfoeG3M HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:26] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjEzfQ.jzq2tUgjk7sMoDrmXWqREH8nxnIQofkB2BmZngkhPko&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjE0fQ.5RFBPe1-UcEWTNnTBQ9OoTqZAG_qfyeBA0s387AvhxE&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjE2fQ.pC0cHkbIGQlKXypephJWrf0aHaGtZQvu1a-felxfPho&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjE3fQ.flCGwY2SI4p27OnYWRzQCl-hVmO-bIsYDytgZHL99Jc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjMsInNlc3Npb25faWQiOjE4fQ.EeETO0DYn3uQC63C3Yxc4z1hfTkZC_v2wxl1IdMEGfw&u_id=3 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjE5fQ.OM5QNrcIn90jV-gyVPakGSBtW7doOXZ5bJcoxslCDbk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjIwfQ.JG5iS4LDQ24P64OfhaPm3XdEilBnaXXgYWYNKJkNN7o&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjIxfQ.9Gh43wPJoSxlfQ3iWjij_Y6qj-BfWGHnMQ1LdFlf03Q&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjIyfQ.E0OYzCwYullo-uSVg5nfTS6lczRJapVqbeHcCBBC0uY&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjIzfQ.C0VFGOLZbku39CEm45ilSRA5rGFSNZ00kReubpk7lx8&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjI0fQ.MQzRrON4mQIbbfluwAo6Ox4wLu4RTkdVT37t7ycOkdw&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /admin/user/remove/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjI1fQ.L5h1LcoPYQ5FBf5ZD3W4f2afMnL9nnqce3Sxw17KOcs&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjI2fQ.kZJzRT77u3jZd4sFOZNQhbayoIPVbhcqNSLvuNRZYxc&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjI3fQ.IB9gU9wU-pA03lsXCO24EcaMTkcy3xbGH0tJPP_pakY&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjI4fQ.mvJHf8-bXgrkgP5Faxq69MLt5rw-3YbqKWWxfLZqfEU&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjI5fQ.2YaFVsOO7OmqPaRfCFAQAiq1orGWSi8P6E6-yfdnVXU&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjMwfQ.d76pxft_FwdhkQePVndRPqtemZsYO3tvPied1aYbmFc&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjMxfQ.3UgEoBQbhTPWH0A_28cmaUdDda2B5jiKxcsN6CD2VBI&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjMyfQ.8aYwAUAjpNjApxCr5oxoNEaSO2oKV3VwntG0Xc6xVPo&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjMzfQ.-mo96vWRqLYvj4hT8GGCRcR6TPZkVlHqs2ij8iqeSmg&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjIsInNlc3Npb25faWQiOjM0fQ.SXydFuFTxgV0ozuX66xUJwGar5kMAjKeKFulvpcJs5c&u_id=2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /admin/userpermission/change/v1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjM1fQ.4gm2aGURUAiA49IZgfYAql5v7W9B3eEvrTofcSA-6gk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjM3fQ.FrZwjxgazTIHDRlBwxUHvDsCH7ZFtrGWXZj1senxZzs&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/login/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjM4fQ.jAVD9Ixg5MUxQjTwoX727CI2YhY8F0g539L3-pTYYxg&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjM3fQ.FrZwjxgazTIHDRlBwxUHvDsCH7ZFtrGWXZj1senxZzs&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/logout/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjM4fQ.jAVD9Ixg5MUxQjTwoX727CI2YhY8F0g539L3-pTYYxg&u_id=1 HTTP/1.1" 403 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjM3fQ.FrZwjxgazTIHDRlBwxUHvDsCH7ZFtrGWXZj1senxZzs&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjM5fQ.afNi5S_b3k2hJVzBAQFeFOMb5ux6Rx-cS3GAv2nv6Hk&u_id=1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/login/v2 HTTP/1.1" 400 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "DELETE /clear/v1 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "POST /auth/register/v2 HTTP/1.1" 200 -
127.0.0.1 - - [15/Nov/2021 15:44:27] "GET /user/profile/v1?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJhdXRoX3VzZXJfaWQiOjEsInNlc3Npb25faWQiOjQwfQ.KLXt_zDd6rYDdub1G2TlawL65yf5kEtelnqv2_GLdnE&u_id=1 HTTP/1.1" 200 -
